index,total,female,male,white,black,american_indian/alaska_native,native_hawaiian/pacific_islander,hispanic,other_race,democrat,republican,unaffiliated,green,libertarian,constitution,justice_for_all,no_labels,we_the_people,date
LENOIR,39607,21687,17331,21302,16894,60,0,476,1351,21917,9708,7884,0,98,0,0,0,0,2016-11-08
LINCOLN,55825,28940,26153,50267,3148,94,0,1163,2316,14550,24212,16843,0,220,0,0,0,0,2016-11-08
MACON,25754,13734,11814,24792,179,58,0,221,725,6936,10317,8399,0,102,0,0,0,0,2016-11-08
MADISON,16929,8489,8007,16088,192,28,0,111,621,6807,4388,5638,0,96,0,0,0,0,2016-11-08
MARTIN,17338,9433,7768,9338,7577,26,0,98,397,10543,3365,3388,0,42,0,0,0,0,2016-11-08
MCDOWELL,29445,15555,13889,27974,892,30,0,267,549,8818,11021,9486,0,120,0,0,0,0,2016-11-08
MECKLENBURG,710643,380115,314578,398729,233786,2036,0,27290,76092,316698,172534,217523,0,3888,0,0,0,0,2016-11-08
MITCHELL,11389,5907,5369,11024,31,11,0,83,323,1200,6933,3227,0,29,0,0,0,0,2016-11-08
MONTGOMERY,16395,8686,7541,11944,3511,47,0,391,893,7396,4935,4015,0,49,0,0,0,0,2016-11-08
MOORE,66046,35859,30123,54886,8287,341,0,895,2532,16933,27020,21764,0,329,0,0,0,0,2016-11-08
NASH,66763,36193,29878,37106,26425,314,0,987,2918,34155,18924,13508,0,176,0,0,0,0,2016-11-08
NEW HANOVER,169945,87999,74455,135411,22327,414,0,2726,11793,55021,53882,59904,0,1138,0,0,0,0,2016-11-08
NORTHAMPTON,14903,8043,6532,5734,8760,32,0,35,377,10907,1449,2533,0,14,0,0,0,0,2016-11-08
ONSLOW,106219,56867,47442,76271,19434,377,0,5003,10137,29511,38060,37862,0,786,0,0,0,0,2016-11-08
ORANGE,116482,60586,50365,85752,13456,305,0,3531,16969,54234,17413,44126,0,709,0,0,0,0,2016-11-08
PAMLICO,9770,5105,4523,7611,1800,30,0,60,329,4039,3081,2618,0,32,0,0,0,0,2016-11-08
PASQUOTANK,28653,15237,12742,16242,10852,56,0,229,1503,13595,5994,8918,0,146,0,0,0,0,2016-11-08
PENDER,40150,20879,18714,31734,6555,92,0,628,1769,13103,14899,11925,0,223,0,0,0,0,2016-11-08
PERQUIMANS,10187,5409,4747,7541,2406,18,0,43,222,4291,2677,3185,0,34,0,0,0,0,2016-11-08
PERSON,26945,14421,12211,18495,7371,118,0,268,961,12473,6665,7708,0,99,0,0,0,0,2016-11-08
PITT,122703,65894,52666,71990,42591,256,0,2228,7866,57286,31711,33047,0,659,0,0,0,0,2016-11-08
POLK,16077,8607,7344,14815,753,15,0,184,494,4631,5597,5776,0,73,0,0,0,0,2016-11-08
RANDOLPH,93210,48930,43433,82756,5933,289,0,2351,4232,20199,46383,26228,0,400,0,0,0,0,2016-11-08
RICHMOND,30670,16494,13851,18868,10196,421,0,342,1185,17407,5759,7434,0,70,0,0,0,0,2016-11-08
ROBESON,76021,42455,33109,23462,21812,26814,0,1110,3933,50796,9593,15455,0,177,0,0,0,0,2016-11-08
ROCKINGHAM,60716,32831,27871,46111,12141,122,0,721,2342,23961,20697,15859,0,199,0,0,0,0,2016-11-08
ROWAN,95197,50252,43921,74002,16899,184,0,1541,4112,29173,38490,27199,0,335,0,0,0,0,2016-11-08
RUTHERFORD,45068,23696,20440,38493,4607,69,0,501,1899,15872,16411,12596,0,189,0,0,0,0,2016-11-08
