index,total,female,male,white,black,american_indian/alaska_native,native_hawaiian/pacific_islander,hispanic,other_race,democrat,republican,unaffiliated,green,libertarian,constitution,justice_for_all,no_labels,we_the_people,date
ALAMANCE,110926,55668,45447,71870,21888,274,7,4398,16887,39209,36271,34695,31,654,66,0,0,0,2020-11-03
ALEXANDER,24953,12071,11217,21634,938,37,1,352,2343,5105,11775,7940,3,108,22,0,0,0,2020-11-03
ALLEGHANY,7609,3647,3359,6739,76,8,0,188,786,2156,2984,2429,4,34,2,0,0,0,2020-11-03
ANSON,16732,7542,6292,6709,6817,28,0,84,3178,10125,2867,3673,8,35,24,0,0,0,2020-11-03
ASHE,19545,9727,8723,17822,110,24,0,237,1589,4502,8875,6055,5,92,16,0,0,0,2020-11-03
AVERY,12355,6048,5465,11096,73,19,0,91,1167,1428,7161,3690,6,61,9,0,0,0,2020-11-03
BEAUFORT,34090,17098,14574,23194,7765,40,0,492,3091,11952,12094,9901,16,109,18,0,0,0,2020-11-03
BERTIE,13335,6993,5608,4624,7784,19,1,40,907,8767,1631,2893,3,38,3,0,0,0,2020-11-03
BLADEN,22855,11851,10109,12731,8003,405,1,460,1715,10752,4956,7072,5,63,7,0,0,0,2020-11-03
BRUNSWICK,114745,55501,48197,92044,8660,345,2,1418,13694,27185,45501,41391,30,585,53,0,0,0,2020-11-03
BUNCOMBE,207375,102842,87683,169162,10829,383,33,4141,26968,77672,47587,80083,252,1669,112,0,0,0,2020-11-03
BURKE,58309,28592,25762,48586,3224,90,0,1003,6409,15402,22702,19798,31,330,46,0,0,0,2020-11-03
CABARRUS,150595,72498,61687,95423,27505,369,6,5580,27292,44766,52563,51972,76,1109,109,0,0,0,2020-11-03
CALDWELL,54780,26821,24484,46972,2729,68,0,930,5011,11396,26552,16370,38,390,34,0,0,0,2020-11-03
CAMDEN,8167,3975,3741,6503,969,11,1,36,683,1759,2894,3448,2,62,2,0,0,0,2020-11-03
CARTERET,51774,25157,22281,44104,2213,85,4,529,5368,10076,23502,17875,13,278,30,0,0,0,2020-11-03
CASWELL,15513,7737,6754,9267,4851,22,1,169,1372,6924,3931,4597,4,47,10,0,0,0,2020-11-03
CATAWBA,108863,53186,47241,84405,9046,127,2,3574,15283,23167,47694,37337,33,565,67,0,0,0,2020-11-03
CHATHAM,57929,27635,23643,41836,6066,125,1,1814,9901,21343,14198,22048,20,296,24,0,0,0,2020-11-03
CHEROKEE,22680,11691,10608,21119,236,133,0,192,1192,4271,10919,7343,11,126,10,0,0,0,2020-11-03
CHOWAN,10259,5466,4423,6495,3040,12,2,69,710,4197,2891,3130,3,35,3,0,0,0,2020-11-03
CLAY,9131,4548,4157,8505,43,16,0,67,567,1634,4184,3244,3,61,5,0,0,0,2020-11-03
CLEVELAND,67725,33690,28717,46829,13701,97,2,713,7096,23065,24938,19309,17,344,52,0,0,0,2020-11-03
COLUMBUS,37050,19027,15939,22338,10872,959,0,321,2881,16971,9567,10391,7,95,19,0,0,0,2020-11-03
CRAVEN,72856,37180,31033,49561,14825,169,6,1727,8295,21922,26640,23713,42,496,43,0,0,0,2020-11-03
CUMBERLAND,226653,111528,89878,91440,89095,2416,49,13132,43653,98034,52493,74134,103,1701,188,0,0,0,2020-11-03
CURRITUCK,21832,10572,10071,18885,1102,48,2,168,1795,3659,8879,9067,14,198,15,0,0,0,2020-11-03
DARE,30128,14812,13406,26875,531,37,1,255,2684,7856,10135,11889,22,211,15,0,0,0,2020-11-03
DAVIDSON,113790,55565,49115,89547,10358,260,4,2219,13621,24025,54976,34121,39,558,71,0,0,0,2020-11-03
DAVIE,31481,15293,13810,25863,1889,36,1,567,3692,5131,16255,9902,10,157,26,0,0,0,2020-11-03
DUPLIN,30503,15269,12894,18021,8454,52,1,1656,3975,12476,9033,8852,6,113,23,0,0,0,2020-11-03
DURHAM,244574,120588,95656,111629,79223,605,22,10029,53095,132450,26851,83757,150,1287,79,0,0,0,2020-11-03
EDGECOMBE,35801,19229,14829,12345,20733,71,0,457,2652,23402,6502,5773,11,98,15,0,0,0,2020-11-03
FORSYTH,271904,135617,110648,160754,69553,536,15,10950,41046,106952,76441,86629,136,1587,159,0,0,0,2020-11-03
FRANKLIN,47720,22455,19746,29114,11235,135,2,1202,7234,17408,15170,14773,25,305,39,0,0,0,2020-11-03
