District,district_pop,n_reg_voters,female,male,white,black,american_indian/alaska_native,native_hawaiian/pacific_islander,hispanic,non_hispanic,other_race,democrat,republican,unaffiliated,green,libertarian,constitution,justice_for_all,no_labels,we_the_people,County,female_percent_of_reg_voters,male_percent_of_reg_voters,white_percent_of_reg_voters,black_percent_of_reg_voters,american_indian/alaska_native_percent_of_reg_voters,native_hawaiian/pacific_islander_percent_of_reg_voters,hispanic_percent_of_reg_voters,non_hispanic_percent_of_reg_voters,other_race_percent_of_reg_voters,democrat_percent_of_reg_voters,republican_percent_of_reg_voters,unaffiliated_percent_of_reg_voters,green_percent_of_reg_voters,libertarian_percent_of_reg_voters,constitution_percent_of_reg_voters,justice_for_all_percent_of_reg_voters,no_labels_percent_of_reg_voters,we_the_people_percent_of_reg_voters,female_percent_of_pop,male_percent_of_pop,white_percent_of_pop,black_percent_of_pop,american_indian/alaska_native_percent_of_pop,native_hawaiian/pacific_islander_percent_of_pop,hispanic_percent_of_pop,non_hispanic_percent_of_pop,other_race_percent_of_pop,democrat_percent_of_pop,republican_percent_of_pop,unaffiliated_percent_of_pop,green_percent_of_pop,libertarian_percent_of_pop,constitution_percent_of_pop,justice_for_all_percent_of_pop,no_labels_percent_of_pop,we_the_people_percent_of_pop
1.0,733499.0,545947.0,294172.0,236525.0,264577.0,236489.0,2888.0,0.0,10535.0,535412.0,41993.0,321321.0,88899.0,133808.0,0.0,1919.0,0.0,0.0,0.0,0.0,"['BERTIE', 'DURHAM', 'EDGECOMBE', 'GATES', 'GRANVILLE', 'HALIFAX', 'HERTFORD', 'MARTIN', 'NORTHAMPTON', 'PITT', 'VANCE', 'WARREN', 'WASHINGTON', 'WILSON']",0.5388288606769521,0.4332380249364865,0.4846203019707041,0.43317208446973793,0.00528989077694355,0.0,0.01929674492212614,0.9807032550778738,0.07691772278261443,0.588557131003559,0.16283448759678137,0.2450933881860327,0.0,0.003514993213626964,0.0,0.0,0.0,0.0,0.40105303483712995,0.3224612439826094,0.36070533156827755,0.32241216416109636,0.003937292348046828,0.0,0.014362664434443673,0.7299423721095735,0.05725024846659641,0.4380660368998458,0.12119852924134866,0.18242424325050205,0.0,0.0026162271523205894,0.0,0.0,0.0,0.0
2.0,733499.0,537196.0,280527.0,241031.0,356535.0,126069.0,1851.0,0.0,15185.0,522012.0,52742.0,211345.0,161075.0,161959.0,0.0,2819.0,0.0,0.0,0.0,0.0,"['FRANKLIN', 'HARNETT', 'JOHNSTON', 'NASH', 'WAKE', 'WILSON']",0.5222060476995362,0.4486835345013738,0.6636963045145533,0.23467970722045584,0.0034456697369302826,0.0,0.02826715016493049,0.9717347113530257,0.09818018004601672,0.39342251245355514,0.29984400479527024,0.301489586668553,0.0,0.005247619118534017,0.0,0.0,0.0,0.0,0.38245041915530903,0.32860440164199267,0.48607428230986,0.17187344495357185,0.002523520822795941,0.0,0.02070214137987918,0.7116737718797163,0.07190466517336765,0.2881326354909823,0.21959811806151064,0.22080330034533108,0.0,0.0038432226901468167,0.0,0.0,0.0,0.0
3.0,733498.0,507737.0,269931.0,228322.0,362890.0,115425.0,1146.0,0.0,10040.0,497697.0,28276.0,190504.0,159116.0,155544.0,0.0,2572.0,0.0,0.0,0.0,0.0,"['BEAUFORT', 'CAMDEN', 'CARTERET', 'CHOWAN', 'CRAVEN', 'CURRITUCK', 'DARE', 'GREENE', 'HYDE', 'JONES', 'LENOIR', 'ONSLOW', 'PAMLICO', 'PASQUOTANK', 'PERQUIMANS', 'PITT', 'TYRRELL']",0.5316354726955097,0.44968556555854705,0.7147204162785064,0.22733226059948358,0.0022570740363613445,0.0,0.019774016863060993,0.980225983136939,0.05569024908564867,0.37520212235862266,0.3133827158548619,0.3063475775844581,0.0,0.005065614678465426,0.0,0.0,0.0,0.0,0.36800509340175436,0.31127828569403054,0.4947389086268811,0.15736239226282825,0.001562376448197541,0.0,0.01368783554965385,0.6785253674856646,0.03854952569741158,0.2597198629035117,0.216927653517801,0.21205783792184846,0.0,0.003506485361923277,0.0,0.0,0.0,0.0
4.0,733499.0,588136.0,302299.0,260477.0,393852.0,111923.0,1500.0,0.0,17982.0,570153.0,80861.0,236477.0,140501.0,207661.0,0.0,3497.0,0.0,0.0,0.0,0.0,"['DURHAM', 'ORANGE', 'WAKE']",0.5139950623665275,0.442885659099256,0.669661438850878,0.19030122284641648,0.0025504305126705386,0.0,0.03057456098589442,0.9694237387270971,0.13748690779003495,0.4020787708965273,0.2388920249738156,0.35308330046111785,0.0,0.00594590366853925,0.0,0.0,0.0,0.0,0.4121328045437008,0.3551156852292914,0.5369496072932615,0.15258780175569428,0.0020449925630437126,0.0,0.024515370845768023,0.7773057631980411,0.11024009576018509,0.322395804220592,0.1915490000668031,0.2831101337561469,0.0,0.004767559328642575,0.0,0.0,0.0,0.0
5.0,733499.0,516137.0,273548.0,232501.0,406570.0,79319.0,897.0,0.0,11737.0,504399.0,29350.0,175126.0,192190.0,146456.0,0.0,2365.0,0.0,0.0,0.0,0.0,"['ALEXANDER', 'ALLEGHANY', 'ASHE', 'AVERY', 'CATAWBA', 'FORSYTH', 'STOKES', 'SURRY', 'WATAUGA', 'WILKES', 'YADKIN']",0.5299910682628837,0.4504637334661146,0.7877172146154994,0.15367819009294045,0.0017379106710040163,0.0,0.02274008644991543,0.9772579760799943,0.05686474715046586,0.33930138703483764,0.3723623766558104,0.2837541195457795,0.0,0.004582116763572462,0.0,0.0,0.0,0.0,0.3729357504236543,0.31697521060015077,0.5542884175711215,0.10813784340537615,0.00122290555270014,0.0,0.016001385141629368,0.687661469204457,0.04001368781688864,0.23875424506372878,0.26201808046091407,0.19966762054208662,0.0,0.0032242716077322533,0.0,0.0,0.0,0.0
6.0,733498.0,506340.0,271154.0,226605.0,363982.0,107979.0,1411.0,0.0,12120.0,494221.0,32968.0,196457.0,165819.0,141985.0,0.0,2079.0,0.0,0.0,0.0,0.0,"['ALAMANCE', 'CASWELL', 'CHATHAM', 'GUILFORD', 'LEE', 'PERSON', 'RANDOLPH', 'ROCKINGHAM']",0.5355176363708181,0.44753525299206065,0.7188489947466129,0.21325394004028914,0.002786665086700636,0.0,0.02393648536556464,0.9760654895919738,0.06511040012639728,0.38799423312398784,0.32748548406209266,0.280414346091559,0.0,0.004105936722360469,0.0,0.0,0.0,0.0,0.36967244627797213,0.30893744768220227,0.496227665242441,0.14721103534024632,0.0019236589602152972,0.0,0.016523562436434727,0.6737864315921789,0.044946271155476905,0.2678357677866879,0.22606605607649918,0.19357244327864562,0.0,0.002834363556546848,0.0,0.0,0.0,0.0
7.0,733499.0,535322.0,281912.0,239197.0,395563.0,105173.0,2813.0,0.0,10658.0,524663.0,31772.0,198724.0,174647.0,159510.0,0.0,2440.0,0.0,0.0,0.0,0.0,"['BLADEN', 'BRUNSWICK', 'COLUMBUS', 'DUPLIN', 'JOHNSTON', 'NEW HANOVER', 'PENDER', 'SAMPSON', 'WAYNE']",0.5266213606016565,0.4468282641101991,0.7389253570748073,0.19646679942165649,0.005254781234471963,0.0,0.019909512405617554,0.9800886195598163,0.05935119423449812,0.37122330111596386,0.32624663286769456,0.2979701936404631,0.0,0.004558004341312332,0.0,0.0,0.0,0.0,0.38433862895518606,0.32610405740157794,0.5392822621435067,0.1433853352219976,0.003835042719894642,0.0,0.014530353824613257,0.7152879554028022,0.04331566914201655,0.2709260680655325,0.23810121077193017,0.21746450915406837,0.0,0.003326521235884439,0.0,0.0,0.0,0.0
8.0,733499.0,510518.0,270596.0,227386.0,334941.0,129223.0,4928.0,0.0,16268.0,494248.0,41427.0,187080.0,167850.0,153272.0,0.0,2316.0,0.0,0.0,0.0,0.0,"['CABARRUS', 'CUMBERLAND', 'HOKE', 'MONTGOMERY', 'MOORE', 'ROWAN', 'STANLY']",0.5300420357362522,0.44540251274196013,0.6560806866751026,0.2531213395022311,0.00965294073862234,0.0,0.031865673688293066,0.9681304087221214,0.08114699187883678,0.36645132982578477,0.32878370596139606,0.3002283954728335,0.0,0.004536568739985662,0.0,0.0,0.0,0.0,0.36891120505958425,0.31000178596017175,0.4566345693722827,0.1761733826494651,0.006718482233786276,0.0,0.022178626010396742,0.6738223228661525,0.05647860460614125,0.2550514724628118,0.2288346678045914,0.20896006674855727,0.0,0.003157468517339492,0.0,0.0,0.0,0.0
9.0,733498.0,509478.0,271094.0,227382.0,295347.0,141980.0,30512.0,0.0,14954.0,494526.0,41638.0,231279.0,134092.0,142128.0,0.0,1980.0,0.0,0.0,0.0,0.0,"['ANSON', 'BLADEN', 'CUMBERLAND', 'MECKLENBURG', 'RICHMOND', 'ROBESON', 'SCOTLAND', 'UNION']",0.5321014842642862,0.4463038639548715,0.5797051099360522,0.27867739136920533,0.05988874887630084,0.0,0.029351610864453422,0.9706523147221273,0.08172678702515124,0.45395286940751123,0.2631948778946294,0.2789678847761827,0.0,0.003886330714967084,0.0,0.0,0.0,0.0,0.36959064646393036,0.309996755274043,0.4026554946298422,0.19356562662747548,0.04159793210070102,0.0,0.020387240319673674,0.6742022473135578,0.05676634428451066,0.3153096531960551,0.1828116777414526,0.1937673995021118,0.0,0.0026993938633779507,0.0,0.0,0.0,0.0
10.0,733499.0,519321.0,274985.0,235120.0,429253.0,60863.0,981.0,0.0,8980.0,510341.0,28225.0,171828.0,187556.0,157650.0,0.0,2286.0,0.0,0.0,0.0,0.0,"['BUNCOMBE', 'CATAWBA', 'CLEVELAND', 'GASTON', 'IREDELL', 'LINCOLN', 'POLK', 'RUTHERFORD']",0.5295087238913889,0.45274502667906746,0.826565842706149,0.11719726334964309,0.0018890050662307128,0.0,0.017291809882519674,0.9827081901174803,0.054349814469278154,0.33087050205941987,0.36115620204074167,0.3035694685945687,0.0,0.004401901713968817,0.0,0.0,0.0,0.0,0.37489485329905015,0.32054576761522513,0.5852127951094684,0.08297625490968631,0.001337425136230588,0.0,0.012242688810755025,0.6957623664108609,0.03847994339460586,0.23425798808178333,0.25570041676948435,0.21492871837589417,0.0,0.0031165686660786177,0.0,0.0,0.0,0.0
