County,District,Total County Pop,Total District Pop,County Pop in District,Percent of County Pop in District,Percent of District Pop in County
Vance,4.0,45422,733499,1200,2.6418915943815775,0.163599405043497
Wake,2.0,900993,733499,733499,81.41006644890693,100.0
Wake,4.0,900993,733499,167494,18.589933551093072,22.834932290296237
Warren,1.0,20972,733498,20972,100.0,2.8591761668061806
Washington,1.0,13228,733498,13228,100.0,1.8034132335739157
Watauga,5.0,51079,733499,51079,100.0,6.963745008513985
Wayne,1.0,122623,733498,122623,100.0,16.71756432873709
Wilkes,5.0,69340,733499,69340,100.0,9.4533189547634
Wilson,1.0,81234,733498,81234,100.0,11.074876823113355
Yadkin,10.0,38406,733499,38406,100.0,5.235998958417121
Yancey,11.0,17818,733499,17818,100.0,2.429178499220858
